name,rating,reviews,email,website
"Dr., PhD., MSc. MSc. Kai Uwe Bochdam",4.8,253,mail@alex1-berlin.de,http://www.alex1-berlin.de/
Implantology Team Berlin,4.9,80,weigt@mgk-partner.de,https://www.implantologieteamberlin.de/
Dr. Hakimi + Kollegen | Oralchirurg & Zahnarzt Berlin-Charlottenburg,4.9,128,info@dr-hakimi.de,https://www.dr-hakimi.de/#gbp
Dr. Nadia Rancsó - Implantologie Berlin Steglitz,4.9,219,privacy@defiant.com,https://www.implantat-info.de/
Zahnarzt Berlin Kudamm - Dental21,4.8,859,dental21-jobs@m.personio.de,https://www.dental21-kudamm.de/?utm_medium=directory&utm_source=google&utm_campaign=bookings_directory_google
Oralc Oralchirurgie & Implantologie Zahnärzte Friedrichshain - Kreuzberg,5.0,210,info@oralc.de,http://www.oralc.de/
Berlin-Klinik Medizinmanagement Implantate & Vollnarkose Zahnbehandlung,4.7,211,prof.schermer@berlin-klinik.de,https://www.berlin-klinik.de/?utm_source=GooglePlaces
Zahnarzt Charlottenburg - Dental21,4.9,982,dental21-jobs@m.personio.de,https://www.dental21-charlottenburg.de/?utm_medium=directory&utm_source=google&utm_campaign=bookings_directory_google
Dental 21 - Berlin Friedrichshain,4.8,742,dental21-jobs@m.personio.de,https://www.dental21-friedrichshain.de/?utm_medium=directory&utm_source=google&utm_campaign=bookings_directory_google
"ANTLITZ MKG-Chirurgie, Gesicht Kiefer Implantologie, Thomas Schieritz",5.0,198,praxis@antlitz.de,http://www.antlitz.de/
"MVZ Tegel Dr. Bochdam, PhD. MSc, MSc und Partner - Implantologie und Oralchirurgie",4.8,90,praxis@info-zahnimplantate.de,http://www.info-zahnimplantate.de/
Dental21 Berlin Pankow,4.9,351,medizinproduktesicherheit@patient21.com,https://www.dental21-pankow.de/?utm_medium=directory&utm_source=google&utm_campaign=bookings_directory_google
MVZ Dr. Siebers GmbH,4.9,36,info@zahneins.com,http://www.zahnarzt-siebers.de/
